"filename", "language", "JavaScript", "comment", "blank", "total"
"/home/hweem/git/leetcode2022/dist/1292.js", "JavaScript", 53, 30, 0, 83
"/home/hweem/git/leetcode2022/dist/1372.js", "JavaScript", 43, 6, 0, 49
"/home/hweem/git/leetcode2022/dist/1911.js", "JavaScript", 110, 83, 0, 193
"/home/hweem/git/leetcode2022/dist/451.js", "JavaScript", 29, 30, 0, 59
"/home/hweem/git/leetcode2022/dist/78.js", "JavaScript", 11, 1, 0, 12
"/home/hweem/git/leetcode2022/dist/app.js", "JavaScript", 50, 6, 0, 56
"Total", "-", 296, 156, 0, 452
